task,lang,metric,baseline,method,n_queries,meandiff,t_stat,p_raw,p_adj_holm,reject
rat2rev,en,R@1000,bm25,bm25+q2d_zs.qwen3.5-9b,113,-0.003281472819970911,-1.5405056060430458,0.1262578066757864,0.631289033378932,False
rat2rev,en,R@1000,bm25,bm25+q2e_zs.gpt-4.1-mini,113,0.011252810984897253,2.371984045284718,0.01939884233530693,0.19398842335306932,False
rat2rev,en,R@1000,bm25,bm25+q2e_zs.qwen3.5-9b,113,0.0019792842725856155,1.7188614344057,0.08840242853967809,0.5535141470819165,False
rat2rev,en,R@1000,bm25,bm25+task_q2e.gpt-4.1-mini,113,0.00566898284467565,2.7289406805118404,0.0073801178347537725,0.0811812961822915,False
rat2rev,en,R@1000,bm25,bm25+task_q2e.qwen3.5-9b,113,0.002748503769091286,2.8700419940740742,0.004907753630719934,0.058893043568639204,False
rat2rev,en,R@1000,bm25,jina-reranker-v2+bm25,113,-0.18076093779524344,-11.44485347039194,1.4829735148661528e-20,5.63529935649138e-19,True
rat2rev,en,R@1000,bm25,jina-v3,113,0.17215249663932758,8.164599486265232,5.331413726794537e-13,1.3328534316986343e-11,True
rat2rev,en,R@1000,bm25,jina-v3+d2e,113,0.19588479967617065,8.353666895991028,1.9928360458679028e-13,5.380657323843337e-12,True
rat2rev,en,R@1000,bm25,jina-v3+d2q,113,0.09651893981857683,4.581956138483261,1.2033428027137329e-05,0.0002045682764613346,True
rat2rev,en,R@1000,bm25,jina-v3+q2d_zs.gpt-4.1-mini,113,0.1585289686752496,7.55649232065084,1.2162354310924893e-11,2.4324708621849784e-10,True
rat2rev,en,R@1000,bm25,jina-v3+q2d_zs.qwen3.5-9b,113,0.1552122584581596,7.454362039526458,2.0429325563954324e-11,3.881571857151322e-10,True
rat2rev,en,R@1000,bm25,jina-v3+q2e_zs.gpt-4.1-mini,113,0.16449801467320108,7.868300865332947,2.4661122583557463e-12,5.178835742547067e-11,True
rat2rev,en,R@1000,bm25,jina-v3+q2e_zs.qwen3.5-9b,113,0.16235302667001075,7.888221790149888,2.22578358070166e-12,4.8967238775436525e-11,True
rat2rev,en,R@1000,bm25,jina-v3+task_q2e.gpt-4.1-mini,113,0.17244881667705222,8.495431479132954,9.49953404537103e-14,2.7548648731575988e-12,True
rat2rev,en,R@1000,bm25,jina-v3+task_q2e.qwen3.5-9b,113,0.1730345387047604,8.053585490275221,9.47882979778537e-13,2.274919151468489e-11,True
rat2rev,en,R@1000,bm25,mcontriever,113,-0.05618605110508957,-2.9228403066047197,0.004197340949346257,0.05456543234150134,False
rat2rev,en,R@1000,bm25,mcontriever-maxp-both,113,-0.04068410726580154,-2.1723486154704337,0.031937135604802755,0.2874342204432248,False
rat2rev,en,R@1000,bm25,mcontriever-maxp-doc,113,-0.06508405634273377,-3.605738940368061,0.0004662090417679789,0.007459344668287663,True
rat2rev,en,R@1000,bm25,mcontriever-maxp-q,113,-0.018721355749494135,-0.9838607158525793,0.32730461152515183,0.7870447265609318,False
rat2rev,en,R@1000,bm25,mdpr,113,-0.2157409189493397,-8.198591171046372,4.4685310631259863e-13,1.1618180764127564e-11,True
rat2rev,en,R@1000,bm25,mdpr-maxp-both,113,-0.19074102334745535,-8.380562579209204,1.731843113489761e-13,4.849160717771331e-12,True
rat2rev,en,R@1000,bm25,mdpr-maxp-doc,113,-0.21328421989148874,-8.813745033905697,1.7849084151121284e-14,5.354725245336385e-13,True
rat2rev,en,R@1000,bm25,mdpr-maxp-q,113,-0.19306510772053248,-7.997683038573423,1.2655928230093762e-12,2.910863492921565e-11,True
rat2rev,en,R@1000,bm25,me5-base,113,0.04075576027415315,1.8940658692318,0.060795825450658536,0.4863666036052683,False
rat2rev,en,R@1000,bm25,me5-base-maxp-both,113,0.05448159587919445,3.08931061055413,0.0025304967214377625,0.03542695410012867,True
rat2rev,en,R@1000,bm25,me5-base-maxp-doc,113,0.02555310027601586,1.2985633934721177,0.19676118164023296,0.7870447265609318,False
rat2rev,en,R@1000,bm25,me5-base-maxp-q,113,0.06209603150610203,3.5219633886617276,0.0006209052937796108,0.009313579406694162,True
rat2rev,en,R@1000,bm25,qwen3-reranker-0.6b+bm25,113,-0.18076093779524344,-11.44485347039194,1.4829735148661528e-20,5.63529935649138e-19,True
rat2rev,en,R@1000,bm25,qwen3-reranker-4b+bm25,113,-0.18076093779524344,-11.44485347039194,1.4829735148661528e-20,5.63529935649138e-19,True
