task,lang,metric,baseline,method,n_queries,meandiff,t_stat,p_raw,p_adj_holm,reject
rat2rev,en,nDCG@10,jina-v3,jina-reranker-v2+bm25,113,0.016832629009605842,0.8699073745023149,0.3862115793477299,1.0,False
rat2rev,en,nDCG@10,jina-v3,jina-v3+d2e,113,0.01474877994760533,1.3525088339728724,0.17893698342254802,1.0,False
rat2rev,en,nDCG@10,jina-v3,jina-v3+d2q,113,-0.011350415326198912,-1.0058637466014846,0.31664932494669484,1.0,False
rat2rev,en,nDCG@10,jina-v3,jina-v3+q2d_zs.gpt-4.1-mini,113,-0.0011876518904595417,-0.22471463928133867,0.8226107381784249,1.0,False
rat2rev,en,nDCG@10,jina-v3,jina-v3+q2d_zs.qwen3.5-9b,113,0.0006003661923460243,0.10357452297728206,0.9176922427787512,1.0,False
rat2rev,en,nDCG@10,jina-v3,jina-v3+q2e_zs.gpt-4.1-mini,113,-0.0007644027391975776,-0.22132090048561562,0.8252455805123948,1.0,False
rat2rev,en,nDCG@10,jina-v3,jina-v3+q2e_zs.qwen3.5-9b,113,-0.006815440209222824,-1.2414252695382213,0.21704236182355008,1.0,False
rat2rev,en,nDCG@10,jina-v3,jina-v3+task_q2e.gpt-4.1-mini,113,-0.00024417415011064136,-0.05132542277656065,0.9591576372293065,1.0,False
rat2rev,en,nDCG@10,jina-v3,jina-v3+task_q2e.qwen3.5-9b,113,0.010990335094859407,2.1643149204974055,0.032563540923013015,0.5263358748160296,False
rat2rev,en,nDCG@10,jina-v3,mcontriever,113,-0.10496786704585769,-6.0723708355806885,1.7657076602017267e-08,6.356547576726217e-07,True
rat2rev,en,nDCG@10,jina-v3,mcontriever-maxp-both,113,-0.08223815711473553,-4.620905894028677,1.0282972815932201e-05,0.0003187721572938982,True
rat2rev,en,nDCG@10,jina-v3,mcontriever-maxp-doc,113,-0.09545527881535508,-5.622819115020485,1.3971695589505572e-07,4.610659544536839e-06,True
rat2rev,en,nDCG@10,jina-v3,mcontriever-maxp-q,113,-0.08529753633050086,-4.79412159329359,5.062143366569646e-06,0.00016198858773022867,True
rat2rev,en,nDCG@10,jina-v3,mdpr,113,-0.10878356011868044,-6.101363644176051,1.541242892511577e-08,5.702598702292834e-07,True
rat2rev,en,nDCG@10,jina-v3,mdpr-maxp-both,113,-0.10559065151514736,-6.025985328950227,2.1934147053368932e-08,7.676951468679127e-07,True
rat2rev,en,nDCG@10,jina-v3,mdpr-maxp-doc,113,-0.11003316749331948,-6.207102177289413,9.363727316175e-09,3.5582163801465e-07,True
rat2rev,en,nDCG@10,jina-v3,mdpr-maxp-q,113,-0.10320857465387702,-5.80815988106402,6.010808799155941e-08,2.04367499171302e-06,True
rat2rev,en,nDCG@10,jina-v3,me5-base,113,-0.0536052919208312,-3.1618012058637617,0.002017694127987505,0.05851312971163765,False
rat2rev,en,nDCG@10,jina-v3,me5-base-maxp-both,113,-0.034193590719735205,-1.8233704504666421,0.07091421850118801,0.8509706220142561,False
rat2rev,en,nDCG@10,jina-v3,me5-base-maxp-doc,113,-0.05070352601761032,-2.847840674526856,0.005238141071307402,0.14142980892529985,False
rat2rev,en,nDCG@10,jina-v3,me5-base-maxp-q,113,-0.0395860496127494,-2.1851457000986456,0.030960933812707626,0.5263358748160296,False
rat2rev,en,nDCG@10,jina-v3,qwen3-reranker-0.6b+bm25,113,0.0278500408334734,1.4921799075589828,0.13846346489847058,1.0,False
rat2rev,en,nDCG@10,jina-v3,qwen3-reranker-4b+bm25,113,0.02751948421506232,1.4023189422986653,0.16358568388584552,1.0,False
rat2rev,en,nDCG@10,jina-v3,qwen3-reranker-8b+bm25,113,0.040267058680347585,2.09791768243231,0.03816138862639665,0.5342594407695531,False
rat2rev,en,nDCG@10,jina-v3,rankgpt-gpt-4.1-mini+bm25,113,0.04144445124393818,2.1339671927112085,0.03502700871684845,0.5263358748160296,False
rat2rev,en,nDCG@10,jina-v3,rankgpt-gpt-4.1-nano+bm25,113,-0.033693253118542085,-1.9974925624355584,0.048196023688904466,0.6265483079557581,False
rat2rev,en,nDCG@10,jina-v3,rankgpt-gpt-5.4-mini+bm25,113,0.06204545843063987,2.96414018292552,0.003708937242062698,0.10385024277775554,False
rat2rev,en,nDCG@100,jina-v3,bge-m3,113,-0.0703833781350199,-4.763889468300582,5.735051795472921e-06,0.0001605814502732418,True
rat2rev,en,nDCG@100,jina-v3,bge-reranker-v2-m3+bm25,113,-0.07778073812895353,-5.120832284102787,1.2765672299283994e-06,3.829701689785198e-05,True
rat2rev,en,nDCG@100,jina-v3,bm25,113,-0.06712405207704608,-4.066757662506312,8.89524463516182e-05,0.001969888697105505,True
